Altium Designer Pick and Place Locations
C:\Users\Joey\PCB\CTDSP\Project Outputs for Free Documents\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       27/12/25
Time:       03:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Center-X(mil) Center-Y(mil) Layer       Rotation 
d_1_S4     2988.970      752.405       BottomLayer 90       
d_1_S3     2473.320      752.405       BottomLayer 90       
d_1_S2     1966.452      749.086       BottomLayer 90       
d_1_S1     1463.017      749.086       BottomLayer 90       
A_1_S4     2736.115      551.010       BottomLayer 90       
A_2_S4     2736.115      450.329       BottomLayer 90       
A_2_S3     2229.839      450.329       BottomLayer 90       
A_1_S3     2229.839      551.010       BottomLayer 90       
A_2_S2     1726.899      450.329       BottomLayer 90       
A_1_S2     1726.899      551.010       BottomLayer 90       
A_1_S1     1222.351      551.010       BottomLayer 90       
A_2_S1     1220.916      450.329       BottomLayer 90       
2.5        1059.555      259.124       BottomLayer 90       
2.5        2052.016      255.967       BottomLayer 90       
2.5        1557.097      257.033       BottomLayer 90       
2.5        892.009       369.236       BottomLayer 90       
U6_S4      2647.546      217.188       TopLayer    0        
U6_S3      2144.196      217.188       TopLayer    0        
U6_S2      1639.876      218.089       TopLayer    0        
U5_S4      2652.061      519.830       TopLayer    270      
U5_S3      2148.711      519.830       TopLayer    270      
U5_S2      1644.392      520.731       TopLayer    270      
U4_S4      2879.005      224.549       TopLayer    270      
U4_S3      2375.655      224.549       TopLayer    270      
U4_S2      1871.336      225.450       TopLayer    270      
U3_S4      2819.548      518.216       TopLayer    270      
U3_S3      2316.198      518.216       TopLayer    270      
U3_S2      1811.878      519.118       TopLayer    270      
U2_S4      2690.069      832.599       TopLayer    180      
U2_S3      2186.719      832.599       TopLayer    180      
U2_S2      1682.399      833.500       TopLayer    180      
U1_S4      2908.135      833.812       TopLayer    90       
U1_S3      2404.784      833.812       TopLayer    90       
U1_S2      1900.465      834.713       TopLayer    90       
R14_S4     2587.248      318.483       TopLayer    0        
R14_S3     2083.898      318.483       TopLayer    0        
R14_S2     1579.579      319.385       TopLayer    0        
R13_S4     2612.820      677.805       TopLayer    180      
R13_S3     2115.821      677.805       TopLayer    180      
