Name,Designator,Description,LCSC Part #

"0.1uF","C1_S1, C1_S2, C1_S3, C1_S4, C4_S1, C4_S2, C4_S3, C4_S4, C6_S1, C6_S2, C6_S3, C6_S4, C8_S1, C8_S2, C8_S3, C8_S4, C10_S1, C10_S2, C10_S3, C10_S4, C11_S1, C11_S2, C11_S3, C11_S4, C12, C13, C24","","C1525"
"2.2uF","C2_S1, C2_S2, C2_S3, C2_S4, C9_S1, C9_S2, C9_S3, C9_S4","","C12530"
"4.7uF","C3_S1, C3_S2, C3_S3, C3_S4","","C23733"
"1nF","C5_S1, C5_S2, C5_S3, C5_S4, C7_S1, C7_S2, C7_S3, C7_S4","","C1523"
"47uF","C14","","C16780"
"1uF","C15","","C15849"
"22nF","C16","","C1532"
"100nF","C17, C19, C20, C22","","C1525"
"10uF","C18","","C15525"
"10nF","C21","","C15195"
"4.7nF","C23","","C1538"
"LED","D1","","C2286"
"BLM18PG121SN1D","FB1","-55?~+125? 1 120O@100MHz 2A 50mO ±25% 0603 Ferrite Beads ROHS","C14709"
"DIP32","J1, J2","",""
"75","R1_S1, R1_S2, R1_S3, R1_S4, R13_S1, R13_S2, R13_S3, R13_S4","","C4275"
"47k","R2_S1, R2_S2, R2_S3, R2_S4, R16_S1, R16_S2, R16_S3, R16_S4","","C25819"
"1.4k","R3_S1, R3_S2, R3_S3, R3_S4, R5_S1, R5_S2, R5_S3, R5_S4","","C25867"
"10K","R4_S1, R4_S2, R4_S3, R4_S4, R6_S1, R6_S2, R6_S3, R6_S4, R7_S1, R7_S2, R7_S3, R7_S4, R8_S1, R8_S2, R8_S3, R8_S4, R9_S1, R9_S2, R9_S3, R9_S4, R10_S1, R10_S2, R10_S3, R10_S4, R11_S1, R11_S2, R11_S3, R11_S4, R12_S1, R12_S2, R12_S3, R12_S4, R14_S1, R14_S2, R14_S3, R14_S4, R15_S1, R15_S2, R15_S3, R15_S4, R17_S1, R17_S2, R17_S3, R17_S4, R18_S1, R18_S2, R18_S3, R18_S4","","C25744"
"0","R19, R20, R25, R26","","C17888"
"220","R28","","C25091"
"470","R29","","C25117"
"330","R30","","C23138"
"2.2k","R31","","C4190"
"150","R32","","C22808"
"3.3k","R33","","C22978"
"1k","R34","","C11702"
"TESTPOINT","TP_AMP1_S1, TP_AMP1_S2, TP_AMP1_S3, TP_AMP1_S4, TP_AMP2_S1, TP_AMP2_S2, TP_AMP2_S3, TP_AMP2_S4, TP_LPSIG1, TP_S1DIFF1_S1, TP_S1DIFF1_S2, TP_S1DIFF1_S3, TP_S1DIFF1_S4, TP_S2DIFF2_S1, TP_S2DIFF2_S2, TP_S2DIFF2_S3, TP_S2DIFF2_S4, TP_SIGBUFF1, TP_SIGIN1","",""
"LMV7219M7_NOPB","U1_S1, U1_S2, U1_S3, U1_S4, U4_S1, U4_S2, U4_S3, U4_S4","",""
"TS5A3159QDBVRQ1","U2_S1, U2_S2, U2_S3, U2_S4, U6_S1, U6_S2, U6_S3, U6_S4","Automotive 1-â„|, 5-V, 2:1 (SPDT), 1-channel analog multiplexer with powered-off protection 6-SOT-23 -40 to 125",""
"TLV2372IDGK","U3_S1, U3_S2, U3_S3, U3_S4","Dual, 16-V, 3-MHz, RRIO operational amplifier 8-VSSOP -40 to 125",""
"OPA2172IDGK","U5_S1, U5_S2, U5_S3, U5_S4","Dual, 36-V, 10-MHz, low-power operational amplifier 8-VSSOP -40 to 125",""
"REF2025AIDDCR","U7","","C962078"
"ADA4891-4ARZ-R7","U8","Quad Rail-to-Rail Op-Amp, 240 MHz, 170 V/µs, SOT-23-5","C654290"
