Altium Designer Pick and Place Locations
C:\Users\Joey\PCB\CTDSP\Altium\Project Outputs\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       26/01/26
Time:       10:43
Revision:   4fddfdd53321acab229fec20aa95bf970253f358
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"R40","TopLayer","78.6010","5.6633","270"
"R31","BottomLayer","17.1450","6.8669","90"
"R32","BottomLayer","13.0175","6.8669","90"
"R26","BottomLayer","8.8900","6.8669","90"
"R30","TopLayer","11.3030","6.7533","270"
"R27","TopLayer","2.0320","6.7533","90"
"R39","TopLayer","5.3310","18.0631","0"
"R25","TopLayer","6.6040","5.3533","0"
"C26","TopLayer","7.9980","21.0580","270"
"C23","TopLayer","6.6040","12.7000","0"
"C22","TopLayer","6.6040","14.6050","0"
"C8_S2","TopLayer","59.5748","9.4098","180"
"C4_S2","TopLayer","71.1318","15.2518","270"
"C2_S2","TopLayer","58.8128","22.2433","90"
"C1_S2","TopLayer","69.6078","19.6968","90"
"C8_S1","TopLayer","40.6046","17.0570","0"
"C1_S1","TopLayer","30.5716","6.7700","270"
"C4_S1","TopLayer","29.0476","11.2150","90"
"C2_S1","TopLayer","41.3666","4.2235","270"
"C20","TopLayer","23.1140","18.2629","180"
"C18","TopLayer","23.1140","21.1839","0"
"C17","TopLayer","23.1140","17.0087","180"
"C15","TopLayer","13.0810","12.6799","0"
"C12","TopLayer","4.9530","9.6743","0"
"R24_S2","TopLayer","70.0142","6.2856","180"
"R23_S2","TopLayer","70.0142","5.3204","180"
"R22_S2","TopLayer","59.7018","5.3204","180"
"R21_S2","TopLayer","59.7018","6.2856","0"
"R12_S2","TopLayer","70.0142","12.3444","180"
"R11_S2","TopLayer","59.7018","12.3444","180"
"R10_S2","TopLayer","70.0142","11.3905","0"
"R9_S2","TopLayer","59.7018","11.3905","180"
"R24_S1","TopLayer","30.1652","20.1812","0"
"R22_S1","TopLayer","40.4776","21.1464","0"
"R23_S1","TopLayer","30.1652","21.1464","0"
"R21_S1","TopLayer","40.4776","20.1812","180"
"R12_S1","TopLayer","30.1652","14.1224","0"
"R11_S1","TopLayer","40.4776","14.1224","0"
"R10_S1","TopLayer","30.1652","15.0763","180"
"R9_S1","TopLayer","40.4776","15.0763","0"
"C19","TopLayer","13.1410","21.1839","180"
"C13","TopLayer","8.2550","9.6743","0"
"C9_S2","TopLayer","59.5748","8.2668","0"
"C9_S1","TopLayer","40.6046","18.2000","180"
"C16","TopLayer","23.1140","15.7544","0"
"R37","TopLayer","25.5270","16.6119","90"
"R41","TopLayer","14.9098","23.1902","0"
"C11_S2","TopLayer","70.0142","4.3044","180"
"C10_S2","TopLayer","59.7018","4.3044","180"
"C7_S2","TopLayer","70.0142","13.3604","180"
"C6_S2","TopLayer","59.7018","13.3604","180"
"C11_S1","TopLayer","30.1652","22.1624","0"
"C10_S1","TopLayer","40.4776","22.1624","0"
"C7_S1","TopLayer","30.1652","13.1064","0"
"C6_S1","TopLayer","40.4776","13.1064","0"
"C25","TopLayer","9.6283","20.7379","90"
"R36","TopLayer","12.6410","19.7297","180"
"C5_S2","TopLayer","72.2748","15.2518","90"
"C3_S2","TopLayer","57.6698","22.2433","270"
"C5_S1","TopLayer","27.9046","11.2150","270"
"C3_S1","TopLayer","42.5096","4.2235","90"
"R33","TopLayer","13.0810","13.8842","180"
"C14","TopLayer","13.0810","15.0884","180"
"R38","TopLayer","18.1610","21.8189","0"
"R29","TopLayer","8.2550","8.2200","0"
"R35","TopLayer","23.5829","19.7297","180"
"R28","TopLayer","4.9530","8.2200","0"
"C21","TopLayer","13.1410","18.2629","0"
"R34","TopLayer","11.2811","16.3455","90"
"R8_S2","TopLayer","75.4498","22.7448","180"
"R7_S2","TopLayer","54.3678","14.7438","0"
"R2_S2","TopLayer","75.4498","15.3788","180"
"R1_S2","TopLayer","54.3678","22.0288","0"
"R8_S1","TopLayer","24.7296","3.7220","0"
"R7_S1","TopLayer","45.8116","11.7230","180"
"R2_S1","TopLayer","24.7296","11.0880","0"
"R1_S1","TopLayer","45.8116","4.4380","180"
"C24","TopLayer","1.7834","20.6743","90"
"R20_S2","TopLayer","68.9982","3.2884","180"
"R19_S2","TopLayer","60.7178","3.2884","180"
"R18_S2","TopLayer","70.0396","7.2508","0"
"R17_S2","TopLayer","59.7018","7.2508","0"
"R16_S2","TopLayer","70.0142","10.4258","0"
"R15_S2","TopLayer","59.6510","10.4258","0"
"R14_S2","TopLayer","68.9982","14.3628","180"
"R13_S2","TopLayer","60.7178","14.3382","180"
"R20_S1","TopLayer","32.2326","22.7056","0"
"R19_S1","TopLayer","38.3540","22.7056","0"
"R18_S1","TopLayer","30.1398","19.2160","180"
"R17_S1","TopLayer","40.4776","19.2160","180"
"R16_S1","TopLayer","30.1652","16.0410","180"
"R15_S1","TopLayer","40.5284","16.0410","180"
"R14_S1","TopLayer","31.1812","12.1040","0"
"R13_S1","TopLayer","39.4616","12.1286","0"
"R6_S2","TopLayer","79.3868","19.6968","180"
"R5_S2","TopLayer","50.4308","17.7983","0"
"R4_S2","TopLayer","79.3868","17.1568","180"
"R3_S2","TopLayer","50.4308","20.3383","0"
"R6_S1","TopLayer","20.7926","6.7700","0"
"R5_S1","TopLayer","49.7486","8.6685","180"
"R4_S1","TopLayer","20.7926","9.3100","0"
"R3_S1","TopLayer","49.7486","6.1285","180"
"U4_S2","TopLayer","64.8638","8.9013","0"
"U4_S1","TopLayer","35.3156","17.5655","180"
"U5","TopLayer","18.1391","16.3584","180"
"U3_S2","TopLayer","64.8834","18.9238","0"
"U3_S1","TopLayer","35.2960","7.5430","180"
"FB1","TopLayer","5.2040","21.4980","0"
"J1","TopLayer","40.6400","2.0320","0"
"J2","TopLayer","40.6400","24.8920","0"
"D1","TopLayer","12.4076","23.2157","180"
"U6","TopLayer","3.2731","13.6561","0"
"TP_TAP_1","BottomLayer","64.9189","22.2690","90"
"TP_SIGBUFF1","BottomLayer","18.6944","4.3180","90"
"TP_SIG3_S2","BottomLayer","78.8788","14.6368","90"
"TP_SIG3_S1","BottomLayer","20.7772","4.2926","90"
"TP_SIG2_S2","BottomLayer","80.1118","15.6918","90"
"TP_SIG2_S1","BottomLayer","43.0096","14.1427","90"
"TP_SIG1_S2","BottomLayer","57.4596","5.0902","90"
"TP_SIG1_S1","BottomLayer","49.9360","10.9097","90"
"TP_SHIFT4_S2","BottomLayer","67.1830","4.0894","90"
"TP_SHIFT4_S1","BottomLayer","32.8810","22.7056","90"
"TP_SHIFT3_S2","BottomLayer","67.1830","14.3628","90"
"TP_SHIFT3_S1","BottomLayer","32.8810","12.1040","90"
"TP_SHIFT2_S2","BottomLayer","62.5212","14.3382","90"
"TP_SHIFT1_S2","BottomLayer","62.3316","4.0894","90"
"TP_LPSIG1","BottomLayer","13.3660","3.7604","90"
"TP_TAP_3","BottomLayer","35.3039","4.3044","90"
"TP_TAP_2","BottomLayer","4.5722","15.9205","90"
"TP_SIG4_S2","BottomLayer","72.4932","5.3411","90"
"TP_SIG4_S1","BottomLayer","28.1561","21.8829","90"
"TP_SHIFT2_S1","BottomLayer","41.0713","11.3905","90"
"U2_S2","TopLayer","74.0528","19.0618","180"
"U1_S2","TopLayer","55.7648","18.4333","0"
"U2_S1","TopLayer","26.1266","7.4050","0"
"U1_S1","TopLayer","44.4146","8.0335","180"
"TP_TAP_4","BottomLayer","78.3087","22.2690","90"
