Designator,LCSC Part #,Footprint,Name

"C1_S1, C1_S2, C2_S1, C2_S2, C4_S1, C4_S2, C8_S1, C8_S2, C12, C15, C17, C18, C20","C1525","C_0402","100nF"
"C3_S1, C3_S2, C5_S1, C5_S2","C12530","C_0402","2.2uF"
"C6_S1, C6_S2, C7_S1, C7_S2, C10_S1, C10_S2, C11_S1, C11_S2","C1550","C_0402","1pF"
"C9_S1, C9_S2, C16","C15525","C_0402","10uF"
"C13, C19","C15195","C_0402","10nF"
"C14","C1532","C_0402","22nF"
"C21","C1538","C_0402","4.7nF"
"C22, C23, C26","C1525","C_0402","0.1uF"
"C24","C16780","C_0805","47uF"
"C25","C15849","C_0603","1uF"
"D1","C2286","LED_6003","LED_0603"
"FB1","C14709","BLM18PG121SN1D","BLM18PG121SN1D"
"J1, J2","","DIP32","DIP32"
"R1_S1, R1_S2, R2_S1, R2_S2, R7_S1, R7_S2, R8_S1, R8_S2","C25819","RES_0603","47k"
"R3_S1, R3_S2, R4_S1, R4_S2, R5_S1, R5_S2, R6_S1, R6_S2","C4275","RES_0603","75"
"R9_S1, R9_S2, R10_S1, R10_S2, R11_S1, R11_S2, R12_S1, R12_S2, R21_S1, R21_S2, R22_S1, R22_S2, R23_S1, R23_S2, R24_S1, R24_S2","C25744","RES_0402","10K"
"R13_S1, R13_S2, R14_S1, R14_S2, R15_S1, R15_S2, R16_S1, R16_S2, R17_S1, R17_S2, R18_S1, R18_S2, R19_S1, R19_S2, R20_S1, R20_S2","C5948099","RES_0402","5K"
"R25, R26, R27, R30, R31, R32, R39, R40","C17888","RES_1206","0"
"R28, R35","C23138","RES_0603","330"
"R29, R38","C22978","RES_0603","3.3k"
"R33","C25091","RES_0402","220"
"R34","C25117","RES_0402","470"
"R36","C4190","RES_0603","2.2k"
"R37","C22808","RES_0603","150"
"R41","C11702","RES_0402","1k"
"TP_LPSIG1, TP_SHIFT1_S1, TP_SHIFT1_S2, TP_SHIFT2_S1, TP_SHIFT2_S2, TP_SHIFT3_S1, TP_SHIFT3_S2, TP_SHIFT4_S1, TP_SHIFT4_S2, TP_SIG1_S1, TP_SIG1_S2, TP_SIG2_S1, TP_SIG2_S2, TP_SIG3_S1, TP_SIG3_S2, TP_SIG4_S1, TP_SIG4_S2, TP_SIGBUFF1, TP_SIGIN1, TP_TAP_1, TP_TAP_2, TP_TAP_3","","TESTPOINT","TESTPOINT"
"TP_TAP_4","","TESTPOINT","TP_TAP_4"
"U1_S1, U1_S2, U2_S1, U2_S2","C131165","TLV3502AIDR","TLV3502AIDR"
"U3_S1, U3_S2","C579105","ADG734BRUZ-REEL","ADG734BRUZ-REEL"
"U4_S1, U4_S2, U5","C654290","ADA4891-4ARZ-R7","ADA4891-4ARZ-R7"
"U6","C962078","REF2025AIDDCR","REF2025AIDDCR"
