Altium Designer Pick and Place Locations
C:\Users\ejros\Downloads\Hanna Lab\CTDSP\Altium\Project Outputs\Pick Place\Pick Place for PCB2.csv

========================================================================================================================
File Design Information:

Date:       22/05/26
Time:       10:08
Revision:   33e03abbfd30f376710e1260a2ab2befc915eff1
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"U4","TopLayer","36.7287","18.3283","0"
"R56","TopLayer","4.8243","22.6112","0"
"R49","BottomLayer","4.8290","22.6060","0"
"R46","TopLayer","10.5368","6.7310","270"
"R43","TopLayer","1.5240","6.7280","90"
"R41","TopLayer","5.2283","5.3340","0"
"C42","TopLayer","3.7420","15.2098","180"
"C1","TopLayer","27.6860","13.7160","180"
"C46","TopLayer","7.7136","18.4738","90"
"C39","TopLayer","9.0090","10.4970","180"
"C38","TopLayer","4.7670","10.4970","0"
"C37","TopLayer","2.3973","11.5592","90"
"C35","TopLayer","14.7402","7.5966","90"
"C33","TopLayer","16.1290","4.0906","180"
"C32","TopLayer","13.4238","9.8009","270"
"C30","TopLayer","24.4520","14.0338","180"
"C27","TopLayer","4.6310","7.2883","0"
"C23","TopLayer","71.8820","13.7160","180"
"C20","TopLayer","68.0720","18.7960","270"
"C19","TopLayer","70.2310","21.4803","180"
"C18","TopLayer","43.6010","21.4803","180"
"C17","TopLayer","56.9390","21.4803","180"
"C16","TopLayer","30.2805","21.4803","180"
"C15","TopLayer","54.5592","18.6944","270"
"C13","TopLayer","65.8215","13.5890","180"
"C11","TopLayer","42.8819","13.5890","180"
"C10","TopLayer","41.4335","18.8774","270"
"C8","TopLayer","58.1660","13.5890","180"
"C6","TopLayer","35.3060","13.5890","180"
"C5","TopLayer","28.1005","18.8774","270"
"C3","TopLayer","50.5137","13.5890","180"
"C34","TopLayer","21.8440","4.0906","0"
"C28","TopLayer","7.9149","7.2883","0"
"C45","TopLayer","9.0252","18.4738","270"
"C31","TopLayer","14.7402","9.8009","90"
"C24","TopLayer","71.8820","14.7831","0"
"R54","TopLayer","13.7902","13.1619","180"
"R61","TopLayer","1.1430","12.9100","270"
"R60","TopLayer","3.8100","13.7055","0"
"R59","TopLayer","8.5090","12.0012","0"
"R58","TopLayer","7.0143","13.7055","0"
"R57","TopLayer","5.2970","12.0012","0"
"C26","TopLayer","79.3546","6.3615","180"
"C25","TopLayer","74.0354","6.3615","180"
"C22","TopLayer","79.3546","20.2945","180"
"C21","TopLayer","74.0854","20.2945","180"
"C47","TopLayer","8.0251","15.4940","0"
"C44","TopLayer","18.4150","21.8440","270"
"C43","TopLayer","8.7751","21.9810","270"
"C41","TopLayer","4.7110","16.7640","0"
"R53","TopLayer","24.4807","5.8420","270"
"C2","TopLayer","27.6860","14.8590","0"
"C14","TopLayer","65.8215","14.7320","0"
"C12","TopLayer","42.8819","14.7320","0"
"C9","TopLayer","58.1660","14.7320","0"
"C7","TopLayer","35.3060","14.7320","0"
"C4","TopLayer","50.5137","14.7320","0"
"R40","TopLayer","77.6504","7.8007","90"
"R39","TopLayer","79.3546","7.6157","180"
"R38","TopLayer","74.0354","7.6157","180"
"R37","TopLayer","75.7396","7.8007","90"
"R28","TopLayer","79.3580","19.0403","180"
"R27","TopLayer","74.0854","19.0403","180"
"R26","TopLayer","77.6504","19.4903","90"
"R25","TopLayer","75.7896","19.4903","90"
"R50","TopLayer","23.7278","12.3295","90"
"C29","TopLayer","24.2278","10.6253","0"
"R55","TopLayer","18.8976","4.0640","180"
"R45","TopLayer","7.6325","8.7925","0"
"R52","TopLayer","13.2359","7.0966","90"
"R44","TopLayer","4.4283","8.7925","0"
"C36","TopLayer","24.2307","8.1012","180"
"R51","TopLayer","24.9321","12.3295","270"
"R24","TopLayer","71.9871","10.5149","90"
"R23","TopLayer","49.0662","10.7365","90"
"R18","TopLayer","64.3117","7.5322","90"
"R17","TopLayer","41.4335","7.5322","90"
"R16","TopLayer","64.3117","10.7365","90"
"R15","TopLayer","41.4435","10.7365","90"
"R10","TopLayer","56.6890","7.5322","90"
"R9","TopLayer","33.8107","7.5322","90"
"R8","TopLayer","56.6890","10.7365","90"
"R7","TopLayer","33.8107","10.7365","90"
"R2","TopLayer","49.0662","7.5322","90"
"R1","TopLayer","26.1849","7.6820","90"
"C40","TopLayer","1.2700","21.7810","90"
"R36","TopLayer","79.3580","5.1072","0"
"R35","TopLayer","74.0354","5.1072","0"
"R34","TopLayer","77.6504","5.6965","270"
"R33","TopLayer","75.7396","5.6965","90"
"R32","TopLayer","77.6504","21.5945","90"
"R31","TopLayer","75.7896","21.5945","270"
"R30","TopLayer","79.3546","21.5488","0"
"R29","TopLayer","74.0941","21.5488","0"
"R22","TopLayer","69.5257","4.4979","180"
"R21","TopLayer","46.5279","4.4979","180"
"R20","TopLayer","66.3215","4.4979","180"
"R19","TopLayer","43.3236","4.4979","180"
"R14","TopLayer","61.8574","4.4979","180"
"R13","TopLayer","38.9792","4.4979","180"
"R12","TopLayer","58.6532","4.4979","180"
"R11","TopLayer","35.7749","4.4979","180"
"R6","TopLayer","54.2290","4.4979","180"
"R5","TopLayer","31.3534","4.4979","180"
"R4","TopLayer","51.0248","4.4979","180"
"R3","TopLayer","28.1491","4.4979","180"
"U17","TopLayer","13.5440","18.9366","0"
"U16","TopLayer","19.2590","9.3514","0"
"U15","TopLayer","76.7060","13.4615","0"
"U1","TopLayer","23.4304","18.3283","0"
"U14","TopLayer","63.3812","18.3378","0"
"U9","TopLayer","50.0616","18.3378","0"
"FB1","TopLayer","4.7131","18.9230","0"
"R47","BottomLayer","19.2720","6.6010","270"
"J2","TopLayer","40.6400","24.8920","0"
"J1","TopLayer","40.5765","2.0320","0"
"D1","TopLayer","1.1431","15.3800","90"
"R48","BottomLayer","21.8763","6.6010","270"
"R42","BottomLayer","15.4970","4.5720","0"
"U13","TopLayer","70.7055","18.5166","90"
"U12","TopLayer","44.0669","18.5166","90"
"U11","TopLayer","57.3866","18.5166","90"
"U10","TopLayer","30.7340","18.5166","90"
"TP_SIGIN1","BottomLayer","12.3190","3.5560","90"
"TP_SIGBUFF1","BottomLayer","19.4310","9.7653","90"
"TP_SIG4","BottomLayer","79.7946","7.3407","90"
"TP_SIG3","BottomLayer","79.7946","19.2174","90"
"TP_SIG2","BottomLayer","78.1004","19.5912","90"
"TP_SIG1","BottomLayer","40.8940","5.0800","90"
"TP_SHIFT4","BottomLayer","61.4680","13.5890","90"
"TP_SHIFT3","BottomLayer","48.0432","14.8590","90"
"TP_SHIFT2","BottomLayer","73.1354","20.7945","0"
"TP_SHIFT1","BottomLayer","19.0500","14.8590","90"
"TP_LPSIG1","BottomLayer","21.8440","14.0970","90"
"U8","TopLayer","68.1686","9.1625","90"
"U7","TopLayer","45.2549","9.1625","90"
"U6","TopLayer","60.5003","9.1625","90"
"U5","TopLayer","37.6221","9.1625","90"
"U3","TopLayer","52.8776","9.1625","90"
"U2","TopLayer","29.9994","9.1625","90"
